analysis_id	analysis_version	label	description	input_entity_types	input_layer_types	produces	engine	endpoint	default_runner	status	requires	intended_use	definition_path
ngsrelate	v2	ngsRelate — pairwise relatedness from genotype likelihoods	Pairwise relatedness coefficients (theta, IBS0/1/2, KING) from a BEAGLE genotype-likelihood file restricted to a sites file. Per-pair scores for all N×(N-1)/2 sample pairs.	sample	beagle_file,sites_file	relatedness_res	ngsRelate		scripts.runners.run_ngsrelate	active		kinship QC, family detection, pedigree input	
ngspedigree	v1	ngsPedigree — pedigree reconstruction from a relatedness matrix	Builds the most-likely pedigree (trios / sib groups) from a pairwise-relatedness matrix produced by ngsRelate.	sample	relatedness_res	pedigree_result	ngsPedigree		scripts.runners.run_ngspedigree	active	ngsrelate	trio / family discovery from a kinship matrix; required upstream for Mendelian QC	
mendelian	v1	Mendelian inheritance — per-trio error rate	Per-trio Mendelian-error rate along the genome. Inputs: pedigree (trios) + BEAGLE genotype likelihoods + sites file. Score is per-trio per-interval.	sample	pedigree_result,beagle_file,sites_file	mendelian_result	mendelian_trio		scripts.runners.run_mendelian	active	ngspedigree	trio QC, sites filtering, sequencing-error model	
popstats	v0.4	Population statistics — windowed FST / dxy / piN / piS (composite)	Window-wise population-genetic statistics between groups defined on a sample set. Wraps region_popstats's groupwise mode; emits a composite popstats_result that downstream readers split into per-metric layers. Decomposed forms (fst_pairwise / dxy / theta_pi) are tracked separately for explicit single-metric requests.	sample	beagle_file,sites_file	popstats_result	region_popstats	/api/popstats/groupwise	scripts.runners.run_popstats	active		manuscript path B: FST scans, divergence between karyotype groups, nucleotide-diversity windows	
fst_pairwise	v1	Pairwise FST in windows	Window-wise pairwise FST between TWO sample sets along a coordinate scope. Decomposed slice of popstats; explicit when a request asks for FST only.	sample,window	beagle_file	fst_windows	region_popstats	/api/popstats/groupwise	scripts.runners.run_popstats	experimental	popstats	scan a candidate / cohort for population differentiation	
theta_pi	v1	Nucleotide diversity θπ in windows	Window-wise π over one sample set on a coordinate scope. Decomposed slice of popstats (single-group mode).	sample,window	beagle_file	theta_pi_windows	region_popstats	/api/popstats/groupwise	scripts.runners.run_popstats	experimental	popstats	diversity scans inside a candidate or across the genome	
dxy	v1	Between-group divergence dxy in windows	Window-wise absolute divergence dxy between TWO sample sets. Decomposed slice of popstats (groupwise mode).	sample,window	beagle_file	dxy_windows	region_popstats	/api/popstats/groupwise	scripts.runners.run_popstats	experimental	popstats	divergence between karyotype / population groups along the genome	
iv_candidate_promoter	v1	Inversion candidate promoter	Promotes window-band signals into candidate intervals with chain evidence.	window,variant_site	window_band_calls,l3_contingency,dosage_summary	candidate_registry,chain_evidence	atlas_js		analysis.iv_candidate_promoter.adapter_atlas	experimental		the candidate axis	analysis/iv_candidate_promoter/adapter_atlas.js
karyotype_auto_caller	v0	Karyotype auto caller	Calls per-sample karyotype 0/1/2 for each candidate.	sample,candidate	candidate_registry,chain_evidence,dosage_summary,window_band_calls	unpolarized_karyotype_calls	atlas_js		analysis.karyotype_auto_caller.adapter_atlas	stub	iv_candidate_promoter	karyotype calling	analysis/karyotype_auto_caller/adapter_atlas.js
karyotype_polarizer	v0	Karyotype polarizer	Polarises unpolarized_karyotype_calls against a reference.	sample,interval	unpolarized_karyotype_calls,reference_genome_layer	polarized_karyotype_calls	atlas_js		analysis.karyotype_polarizer.adapter_atlas	stub	karyotype_auto_caller	karyotype orientation	analysis/karyotype_polarizer/adapter_atlas.js
